post_id,influencer_id,post_datetime,content_type,post_format,follower_count,authority_log,verified,account_age_years,early_window_mins,early_likes,early_comments,early_shares,early_total_engagement,early_engagement_velocity,early_comment_share_ratio,persuasive_power_index,reach,impressions,impressions_per_reach,exposure_persistence_hours,reach_growth_rate,algorithmic_amplification_index,very_high_reach,total_likes,total_comments,total_shares,link_clicks,saves,profile_visits,click_through_rate,save_rate,engagement_success_index,low_effort_engagement,high_effort_engagement
11,523,2024-06-03,informational,video,15327,9.637371257998907,0,7.82,60,44,7,0,51,0.85,8.0,-0.533838649817675,4901,8510,1.736,7.46,0.014,-0.3027852781522676,0,44,9,0,0,0,0,0.0,0.0,-0.8079607275578431,44,0
12,785,2024-04-16,experiential,video,52041,10.85978714842952,1,3.34,60,102,2,5,109,1.816666666666667,0.5,-0.09514330545447133,11746,26555,2.261,7.48,0.134,0.5759040990066454,0,102,3,0,6,3,0,0.000511,0.000255,1.177260662091614,102,9
13,452,2024-08-18,informational,video,77276,11.25513870771244,0,1.32,60,35,2,10,47,0.7833333333333333,0.2727272727272727,-0.3855998042646502,2474,5102,2.062,5.63,0.244,-1.103779912025626,0,91,6,0,1,0,0,0.000404,0.0,-0.3980986207717674,91,1
14,431,2025-12-13,informational,image,9106,9.116688815894728,0,4.14,60,44,6,0,50,0.8333333333333334,7.0,-0.5775895554553986,3495,7098,2.031,7.07,0.093,-0.5341327502876794,0,44,12,3,0,0,0,0.0,0.0,-0.8079607275578431,44,0
15,793,2024-07-06,experiential,carousel,39010,10.5715733025007,1,9.57,60,23,0,3,26,0.4333333333333333,0.25,-0.8687704699266443,11865,30580,2.577,5.97,0.114,0.3722223998250712,0,23,3,1,0,0,0,0.0,0.0,-0.8079607275578431,23,0
16,606,2024-11-28,experiential,image,194230,12.17679830282618,0,3.82,60,104,10,8,122,2.033333333333333,1.222222222222222,0.4006032313330215,20077,24315,1.211,5.09,0.259,0.0572124020609313,0,721,4,0,4,2,11,0.000199,0.0001,1.557228704752969,721,17
17,713,2024-01-22,informational,image,17242,9.75510354676987,0,8.07,60,60,1,2,63,1.05,0.6666666666666666,-0.5879635416137392,8482,14222,1.677,6.81,0.126,-0.0193417224807479,0,60,7,2,3,0,1,0.000354,0.0,0.2215619978991114,60,4
18,533,2024-10-16,informational,image,27831,10.23390578632138,0,0.63,60,68,4,6,78,1.3,0.7142857142857143,-0.2219477639415177,9061,10105,1.115,6.57,0.137,-0.2803831983903558,0,68,7,0,0,0,1,0.0,0.0,-0.5981622156730401,68,1
19,723,2025-02-21,experiential,image,7722,8.951828676824181,0,4.51,60,39,8,2,49,0.8166666666666667,3.0,-0.4409554725384902,3877,4938,1.274,6.72,0.0,-0.8355898886078538,0,39,4,2,0,0,1,0.0,0.0,-0.5981622156730401,39,1
20,652,2025-11-26,experiential,video,91726,11.42656115131723,0,9.63,60,60,12,9,81,1.35,1.3,0.1979662631370152,8225,15758,1.916,6.39,0.215,-0.03839040019429431,0,162,7,2,4,0,1,0.000486,0.0,0.3535081251032733,162,5
21,293,2025-01-12,informational,image,16492,9.71063069382679,0,9.74,60,121,4,11,136,2.266666666666667,0.4166666666666667,0.397585853755824,5988,8082,1.35,7.83,0.089,-0.2451748490852749,0,121,2,0,2,1,0,0.000334,0.000167,0.258951835563991,121,3
22,101,2025-08-20,informational,image,7220,8.884610231886871,0,7.89,60,112,6,4,122,2.033333333333333,1.4,0.1121685635574124,6294,6294,1.0,6.56,0.035,-0.6357778242400808,0,112,11,2,0,0,0,0.0,0.0,-0.8079607275578431,112,0
23,502,2025-02-03,informational,image,200670,12.20941704678056,1,1.09,60,19,16,10,45,0.75,1.545454545454545,0.105580859129144,14449,15432,1.068,4.99,0.23,-0.3057979675223498,0,271,11,0,3,3,1,0.000208,0.000208,1.05615498469778,271,7
24,304,2024-01-30,promotional,video,54741,10.91036825060464,0,0.64,60,105,15,1,121,2.016666666666667,8.0,0.3222711677567407,12931,16676,1.29,6.01,0.102,-0.02921028423690741,0,105,12,0,0,1,2,0.0,7.7e-05,-0.05814146011399432,105,3
25,540,2024-08-17,promotional,carousel,16699,9.723104116372433,1,6.92,60,36,3,2,41,0.6833333333333333,1.333333333333333,-0.6824597536397962,8088,18066,2.234,7.18,0.088,0.2165792860692262,0,36,1,1,1,0,0,0.000124,0.0,-0.3980986207717674,36,1
26,553,2025-02-24,experiential,video,95586,11.46778164480095,1,9.96,60,76,18,14,108,1.8,1.266666666666667,0.7994250287375463,18834,35963,1.909,7.55,0.169,0.8408875137764081,0,209,1,4,0,1,2,0.0,5.3e-05,-0.05814146011399432,209,3
27,355,2025-11-24,promotional,image,29173,10.28099890296264,0,0.88,60,111,12,5,128,2.133333333333333,2.166666666666667,0.4106150096608288,10678,17482,1.637,6.16,0.205,0.00970267021337869,0,111,2,0,9,1,0,0.000843,9.4e-05,0.97086821340388,111,10
28,303,2025-09-19,experiential,video,62774,11.0472962539905,0,2.37,60,37,26,8,71,1.183333333333333,3.0,0.5925399064865666,21480,46354,2.158,7.25,0.173,0.9752093118111462,0,43,7,1,1,0,0,4.7e-05,0.0,-0.3980986207717674,43,1
29,496,2024-06-15,informational,image,50966,10.83891402271876,1,4.06,60,6,2,2,10,0.1666666666666667,1.0,-0.9537081884043999,7270,10575,1.455,5.61,0.071,-0.4973325493299214,0,60,2,0,1,1,0,0.000138,0.000138,0.01919787262756667,60,2
30,658,2024-06-09,informational,image,29024,10.27587835291486,0,11.78,60,28,8,3,39,0.65,2.25,-0.4808469699703755,4419,5890,1.333,5.57,0.149,-0.9562479044695048,0,28,1,0,5,0,1,0.001131,0.0,0.4613159608355358,28,6
31,768,2024-05-26,promotional,carousel,174696,12.0708025994662,1,9.42,60,106,18,4,128,2.133333333333333,3.8,0.5916799253847197,64227,132924,2.07,5.1,0.249,1.335825066738923,1,298,3,1,0,5,2,0.0,7.8e-05,0.6032578336063835,298,7
32,227,2025-11-04,experiential,video,31707,10.36429275567746,0,10.27,60,57,9,4,70,1.166666666666667,2.0,-0.1736575229286971,5372,8020,1.493,7.53,0.241,-0.3190892568564388,0,57,3,0,5,1,0,0.000931,0.000186,0.6688139423500667,57,6
33,236,2025-09-14,promotional,image,56045,10.9339102184552,0,5.78,60,80,1,5,86,1.433333333333333,0.3333333333333333,-0.305725732451907,4284,4284,1.0,5.63,0.141,-1.14481344820137,0,80,0,1,1,3,1,0.000233,0.0007,0.6462928779117038,80,5
34,455,2025-07-19,promotional,image,17496,9.769727562356604,0,5.93,60,98,16,6,120,2.0,2.428571428571428,0.5305606328380457,28103,46398,1.651,5.41,0.161,0.6049632132068947,0,98,9,0,1,0,0,3.6e-05,0.0,-0.3980986207717674,98,1
35,13,2024-10-13,experiential,image,37872,10.54196733175377,0,4.78,60,75,3,11,89,1.483333333333333,0.3333333333333333,0.005005403456884105,4636,7179,1.549,6.93,0.131,-0.5251854133298411,0,90,1,0,5,1,5,0.001079,0.000216,1.211135228279385,90,11
36,210,2025-01-03,informational,image,1401049,14.15273179972538,1,2.24,60,303,8,9,320,5.333333333333333,0.9,1.86569262651385,751750,1102386,1.466,5.19,0.4,3.062309257193736,1,876775,2,0,151,19,13,0.000201,2.5e-05,4.764992948520435,876775,183
37,741,2024-12-04,informational,video,4718,8.45914025996762,0,9.74,60,42,11,4,57,0.95,2.4,-0.1999044762166899,3575,3685,1.031,6.94,0.088,-0.9865534431784472,0,42,4,0,0,0,0,0.0,0.0,-0.8079607275578431,42,0
38,397,2024-07-03,informational,image,5361,8.586905803827538,0,0.64,60,50,2,1,53,0.8833333333333333,1.5,-0.6635694089329462,7431,10845,1.459,6.51,0.028,-0.278015190283555,0,50,1,2,0,0,0,0.0,0.0,-0.8079607275578431,50,0
39,100,2025-01-03,informational,carousel,23515,10.06539379437915,0,6.03,60,70,3,2,75,1.25,1.333333333333333,-0.424629220629332,8503,15584,1.833,7.01,0.198,0.08326483853811478,0,70,4,2,0,0,4,0.0,0.0,-0.3208236685469587,70,4
40,31,2024-01-23,experiential,video,16290,9.69830670159609,0,10.18,60,28,3,16,47,0.7833333333333333,0.2352941176470588,-0.1337860759353747,7607,11333,1.49,5.62,0.11,-0.4435285966393919,0,28,5,1,0,1,0,0.0,0.000131,-0.390664234158509,28,1
41,528,2024-04-06,informational,carousel,31197,10.34807721532834,0,1.89,60,90,9,12,111,1.85,0.7692307692307693,0.4247838650946365,7825,24113,3.082,5.29,0.231,0.01750930294650882,0,90,0,0,1,0,1,0.000128,0.0,-0.1883001088869643,90,2
42,649,2025-10-09,informational,video,23601,10.06904436299735,1,2.0,60,26,8,8,42,0.7,1.0,-0.2783921556723141,1898,2449,1.29,7.83,0.199,-1.179916982354887,0,26,1,5,0,1,0,0.0,0.000527,-0.390664234158509,26,1
43,329,2025-07-02,experiential,video,55499,10.92412028155418,0,2.13,60,208,11,10,229,3.816666666666667,1.090909090909091,1.320060764439871,138044,204884,1.484,5.63,0.253,1.841596950705634,1,208,6,4,0,0,1,0.0,0.0,-0.5981622156730401,208,1
44,166,2024-11-04,informational,video,44926,10.71277197072511,0,2.06,60,45,8,4,57,0.95,1.8,-0.3084074402171728,3728,5917,1.587,6.19,0.228,-0.8342489076101898,0,45,7,1,0,0,1,0.0,0.0,-0.5981622156730401,45,1
45,459,2025-01-12,experiential,image,17092,9.746365796763916,0,11.67,60,74,2,3,79,1.316666666666667,0.75,-0.3945228591355008,15957,30376,1.904,5.63,0.15,0.309588202695104,0,74,1,0,1,1,0,6.3e-05,6.3e-05,0.01919787262756667,74,2
46,100,2024-09-27,experiential,video,23515,10.06539379437915,0,6.03,60,180,16,7,203,3.383333333333333,2.125,1.195911475699489,11415,14675,1.286,7.49,0.17,0.1707340444439053,0,180,1,0,0,0,0,0.0,0.0,-0.8079607275578431,180,0
47,621,2025-06-24,experiential,image,13488,9.509555680241636,0,1.16,60,52,20,9,81,1.35,2.1,0.4873075004716358,7283,16584,2.277,7.41,0.197,0.1912063951848126,0,52,7,1,1,0,0,0.000137,0.0,-0.3980986207717674,52,1
48,173,2025-07-26,promotional,image,27526,10.22288629153948,0,3.51,60,137,4,3,144,2.4,1.25,0.1707237633063947,5309,7535,1.419,6.17,0.096,-0.6339838622605668,0,137,5,3,0,1,1,0.0,0.000188,-0.1808657222737059,137,2
49,749,2025-07-11,informational,image,16131,9.688498165477787,0,11.76,60,70,6,6,82,1.366666666666667,1.0,-0.1192794507242784,8239,14990,1.819,6.16,0.076,-0.1226512245612799,0,70,0,1,0,0,0,0.0,0.0,-0.8079607275578431,70,0
50,162,2025-06-11,informational,video,65322,11.08708416510923,0,8.89,60,38,5,0,43,0.7166666666666667,6.0,-0.6668399669184982,11576,22875,1.976,6.5,0.15,0.2758712098792852,0,112,0,3,1,0,1,8.6e-05,0.0,-0.1883001088869643,112,2
51,728,2024-05-29,promotional,carousel,42091,10.64758922009488,0,11.48,60,148,10,0,158,2.633333333333333,11.0,0.3860721680686804,9446,17967,1.902,5.54,0.155,-0.1258848382964166,0,148,20,3,0,0,1,0.0,0.0,-0.5981622156730401,148,1
52,776,2024-09-03,experiential,image,6184,8.729720590267258,0,4.15,60,181,2,5,188,3.133333333333333,0.5,0.5039335212463131,13111,17154,1.308,6.81,0.066,0.1601009426697864,0,181,11,0,0,1,0,0.0,7.6e-05,-0.390664234158509,181,1
53,263,2024-12-08,promotional,video,1163,7.058758152518664,0,9.42,60,48,0,1,49,0.8166666666666667,0.5,-0.7662377221501855,3156,4871,1.543,6.6,0.104,-0.8973837510857272,0,48,0,1,0,0,0,0.0,0.0,-0.8079607275578431,48,0
54,274,2024-08-29,informational,carousel,30038,10.31021852576553,0,6.63,60,233,12,7,252,4.2,1.625,1.422820154606083,29565,58005,1.962,5.34,0.207,0.7467838595222575,0,233,3,1,0,0,0,0.0,0.0,-0.8079607275578431,233,0
55,3,2025-07-05,promotional,image,56823,10.94769645232485,1,11.77,60,110,1,4,115,1.916666666666667,0.4,-0.1217524665729975,5836,8381,1.436,6.84,0.251,-0.4115911443600003,0,110,13,0,4,0,1,0.000685,0.0,0.3535081251032733,110,5
56,28,2024-08-28,promotional,image,43291,10.67570004019232,0,3.4,60,73,2,8,83,1.383333333333333,0.3333333333333333,-0.1844847938665434,8142,14560,1.788,7.69,0.011,0.1596866995009586,0,180,6,4,2,0,0,0.000246,0.0,-0.1583446578353431,180,2
57,326,2024-04-10,experiential,image,8829,9.085797036901582,0,10.0,60,25,4,1,30,0.5,2.5,-0.7656488719298993,3246,8153,2.512,6.63,0.123,-0.5267738160825781,0,25,1,1,0,0,0,0.0,0.0,-0.8079607275578431,25,0
58,149,2024-10-18,informational,carousel,50108,10.82193595496408,0,3.48,60,155,0,3,158,2.633333333333333,0.25,0.1322186582316284,10090,12863,1.275,6.49,0.164,-0.1284023740856074,0,155,4,1,0,1,1,0.0,9.9e-05,-0.1808657222737059,155,2
59,540,2025-12-16,promotional,image,16699,9.723104116372433,1,6.92,60,21,3,3,27,0.45,1.0,-0.7526842549552656,3757,5207,1.386,7.26,0.233,-0.700149343566563,0,36,1,1,0,0,0,0.0,0.0,-0.8079607275578431,36,0
60,488,2024-06-13,promotional,image,10081,9.218407743053941,1,2.01,60,32,1,5,38,0.6333333333333333,0.3333333333333333,-0.6697217790549153,3271,4002,1.223,6.56,0.121,-1.028086412313146,0,32,0,0,3,0,2,0.000917,0.0,0.344286260058823,32,5
61,438,2025-03-22,promotional,video,7479,8.919854372191667,0,7.76,60,87,11,4,102,1.7,2.4,0.1413418174736303,9670,11451,1.184,6.33,0.011,-0.2423895205301599,0,87,1,1,0,0,0,0.0,0.0,-0.8079607275578431,87,0
62,65,2024-11-12,informational,carousel,67005,11.11252252245433,0,9.7,60,76,3,3,82,1.366666666666667,1.0,-0.3356054515559853,14646,24829,1.695,5.24,0.222,0.06688813207129032,0,76,1,1,1,0,0,6.8e-05,0.0,-0.3980986207717674,76,1
63,356,2024-02-21,promotional,carousel,10910,9.297435078827116,0,4.0,60,29,8,2,39,0.65,3.0,-0.5167879822474502,5822,11006,1.89,5.72,0.037,-0.4692367223810862,0,29,2,0,0,1,0,0.0,0.000172,-0.390664234158509,29,1
64,533,2024-12-22,informational,image,27831,10.23390578632138,0,0.63,60,30,2,2,34,0.5666666666666667,1.0,-0.7717101651028957,7453,13358,1.792,6.43,0.095,-0.1540152953141492,0,30,6,0,1,0,0,0.000134,0.0,-0.3980986207717674,30,1
65,252,2025-05-27,informational,carousel,74448,11.21785617408443,0,9.38,60,89,15,5,109,1.816666666666667,2.666666666666667,0.3750362052142874,15927,24698,1.551,5.72,0.222,0.1892098987954602,0,89,5,0,2,1,3,0.000126,6.3e-05,0.6785488593335971,89,6
66,235,2025-01-09,experiential,image,253709,12.44394321992859,1,9.77,60,477,18,3,498,8.3,4.75,3.361541772339167,1149566,1797877,1.564,2.82,0.326,2.683478105853788,1,477,0,0,1,5,2,1e-06,4e-06,1.013119940392459,477,8
67,227,2025-09-28,informational,image,31707,10.36429275567746,0,10.27,60,34,7,4,45,0.75,1.6,-0.4355741065347524,13503,14403,1.067,6.21,0.123,-0.06928143314655237,0,48,2,0,1,2,4,7.4e-05,0.000148,0.750437731959495,48,7
68,525,2024-07-29,experiential,carousel,13860,9.536762272743895,0,7.54,60,63,3,5,71,1.183333333333333,0.6666666666666666,-0.3471391876816919,5717,12792,2.238,6.16,0.202,-0.2644297688759718,0,63,10,0,1,0,2,0.000175,0.0,-0.0655758467272527,63,3
69,313,2024-03-03,experiential,video,67875,11.12542305723624,1,9.92,60,189,18,5,212,3.533333333333333,3.166666666666667,1.264614019217059,10435,18415,1.765,6.75,0.251,0.1668863981058107,0,402,0,1,17,1,0,0.001629,9.6e-05,1.318430012072567,402,18
70,49,2025-11-14,informational,image,41924,10.64361373429007,0,7.29,60,70,25,9,104,1.733333333333333,2.6,0.842560546136382,8598,18212,2.118,5.13,0.299,-0.2255980643374396,0,70,2,0,0,2,5,0.0,0.000233,0.3957598520918527,70,7
71,118,2024-10-03,experiential,video,9240,9.131297164635729,0,6.45,60,54,8,5,67,1.116666666666667,1.5,-0.196633918231138,8815,18710,2.123,6.16,0.084,0.039102282718205,0,54,2,1,0,1,0,0.0,0.000113,-0.390664234158509,54,1
72,54,2025-02-24,promotional,video,54813,10.91168267107977,1,10.54,60,49,33,3,85,1.416666666666667,8.5,0.7721739413615305,28624,56575,1.976,6.55,0.13,1.000139998957779,0,81,1,0,0,1,1,0.0,3.5e-05,-0.1808657222737059,81,2
73,650,2025-08-01,informational,carousel,59647,10.99619913288327,0,9.59,60,127,2,3,132,2.2,0.75,0.007389442321987502,4925,12242,2.486,8.61,0.154,0.1558607266558709,0,127,6,0,2,1,0,0.000406,0.000203,0.258951835563991,127,3
74,565,2024-08-24,experiential,carousel,98836,11.50121718983807,1,5.45,60,13,3,4,20,0.3333333333333333,0.8,-0.7698259994744628,4292,7463,1.739,6.85,0.163,-0.5235964640244101,0,372,5,0,3,3,3,0.000699,0.000699,1.265953496582582,372,9
75,44,2025-06-06,informational,video,22002,9.99888863729938,0,2.96,60,68,5,9,82,1.366666666666667,0.6,-0.04762406855988199,17210,17210,1.0,5.44,0.067,-0.0940499310299596,0,68,2,5,0,0,0,0.0,0.0,-0.8079607275578431,68,0
76,53,2024-04-08,experiential,carousel,15109,9.62304587173984,0,8.42,60,43,21,4,68,1.133333333333333,4.4,0.245187831131442,23395,33939,1.451,4.92,0.071,0.2495607526432626,0,43,4,2,1,0,2,4.3e-05,0.0,-0.0655758467272527,43,3
77,586,2024-07-31,informational,video,38110,10.5482319938679,0,0.82,60,15,12,3,30,0.5,3.25,-0.4044256100411291,8837,19609,2.219,6.37,0.088,0.1181418346432955,0,36,5,3,1,0,0,0.000113,0.0,-0.3980986207717674,36,1
78,558,2024-04-15,experiential,video,19292,9.867445781188863,0,7.2,60,63,8,2,73,1.216666666666667,3.0,-0.258957449236986,9817,22861,2.329,6.22,0.209,0.2037923981292182,0,63,5,0,0,1,0,0.0,0.000102,-0.390664234158509,63,1
79,525,2025-08-15,informational,video,13860,9.536762272743895,0,7.54,60,33,4,10,47,0.7833333333333333,0.4545454545454545,-0.3132644949309951,8626,14162,1.642,5.2,0.249,-0.382210626010405,0,33,0,2,0,1,0,0.0,0.000116,-0.390664234158509,33,1
80,677,2024-06-11,promotional,image,9793,9.189423123720793,0,2.81,60,19,4,4,27,0.45,1.0,-0.6805755880113632,4477,7215,1.612,6.22,0.058,-0.6729950764700487,0,19,3,0,0,0,0,0.0,0.0,-0.8079607275578431,19,0
81,102,2025-06-07,experiential,image,19523,9.879348536682802,0,1.25,60,141,8,16,165,2.75,0.5294117647058824,0.9418758119644919,12293,17186,1.398,7.36,0.126,0.2588898542975984,0,141,9,1,0,1,0,0.0,8.1e-05,-0.390664234158509,141,1
82,792,2025-11-19,experiential,image,36596,10.50769422379943,0,4.1,60,21,10,3,34,0.5666666666666667,2.75,-0.4464279154912003,11614,17099,1.472,5.43,0.078,-0.1635003259325066,0,21,1,4,2,1,5,0.000172,8.6e-05,0.8012731214933089,21,8
83,770,2025-01-20,experiential,video,182125,12.11244854349751,1,6.21,60,26,8,2,36,0.6,3.0,-0.5395377351601381,13015,14713,1.13,7.2,0.117,0.1387186707461252,0,487,4,0,16,5,3,0.001229,0.000384,2.365628214856138,487,24
84,398,2025-01-29,experiential,image,115136,11.65386931731021,0,5.89,60,18,1,3,22,0.3666666666666666,0.5,-0.8629358191434007,1572,1896,1.206,5.37,0.11,-1.882950838488762,0,293,2,2,1,0,1,0.000636,0.0,-0.1883001088869643,293,2
85,138,2024-12-02,experiential,image,21546,9.977945463454137,0,7.26,60,58,16,4,78,1.3,3.4,0.1401820675062641,16317,25206,1.545,6.38,0.145,0.3525584769128843,0,58,4,0,0,1,1,0.0,6.1e-05,-0.1808657222737059,58,2
86,675,2024-08-25,experiential,image,7277,8.892473968347087,0,7.1,60,71,2,2,75,1.25,1.0,-0.4607968752961595,8324,14372,1.727,7.12,0.056,0.04684556427032242,0,71,1,2,0,0,1,0.0,0.0,-0.5981622156730401,71,1
87,387,2024-12-13,experiential,image,41846,10.6417514918992,0,8.86,60,267,3,5,275,4.583333333333333,0.6666666666666666,1.199844010381093,26599,56260,2.115,6.85,0.235,1.051472390995206,0,267,6,1,0,0,1,0.0,0.0,-0.5981622156730401,267,1
88,111,2025-03-16,informational,video,4364,8.381144346952961,0,6.23,60,24,1,0,25,0.4166666666666667,2.0,-0.9480091030619366,9868,14485,1.468,5.78,0.005,-0.210734138346687,0,24,9,1,1,1,0,0.000101,0.000101,0.01919787262756667,24,2
89,614,2025-12-20,informational,image,9648,9.174505918966966,0,6.73,60,28,0,0,28,0.4666666666666667,1.0,-0.9614270048160762,7106,13516,1.902,6.75,0.169,-0.08422525753757257,0,28,3,0,1,1,1,0.000141,0.000141,0.2289963845123698,28,3
90,17,2025-11-15,experiential,image,10799,9.28720881623276,0,11.35,60,18,4,1,23,0.3833333333333334,2.5,-0.8187316287261712,9568,15541,1.624,5.19,0.049,-0.3103878157758783,0,18,5,0,0,0,0,0.0,0.0,-0.8079607275578431,18,0
91,780,2025-09-21,promotional,video,55308,10.92067284250851,1,3.68,60,115,3,3,121,2.016666666666667,1.0,-0.03985866369104109,9317,13563,1.456,5.88,0.119,-0.2385144387987638,0,115,4,1,1,0,2,0.000107,0.0,-0.0655758467272527,115,3
92,182,2025-10-11,informational,carousel,12618,9.442879644930754,0,6.11,60,18,4,1,23,0.3833333333333334,2.5,-0.8187316287261712,14568,29387,2.017,6.98,0.055,0.5688664460649709,0,18,6,2,4,0,1,0.000275,0.0,0.3535081251032733,18,5
93,536,2024-12-07,informational,image,31176,10.34740384701854,0,6.09,60,39,1,5,45,0.75,0.3333333333333333,-0.6166390222586432,1322,2141,1.62,6.47,0.24,-1.577755115897971,0,39,10,1,2,0,1,0.001513,0.0,0.05145385404946001,39,3
94,541,2025-04-24,informational,image,68576,11.1356978982733,0,4.45,60,84,3,0,87,1.45,4.0,-0.4055122335327292,19345,33811,1.748,5.63,0.097,0.4022723625491103,0,172,11,0,2,3,0,0.000103,0.000155,0.676248328963325,172,5
95,171,2025-10-15,promotional,carousel,12216,9.410501846898468,0,1.16,60,26,3,7,36,0.6,0.5,-0.5406709471089028,7612,9198,1.208,6.28,0.125,-0.4291767792169086,0,26,0,0,0,1,0,0.0,0.000131,-0.390664234158509,26,1
96,409,2024-10-13,promotional,image,33533,10.42028530757241,0,10.76,60,42,1,22,65,1.083333333333333,0.08695652173913043,0.1460232058695462,13991,17948,1.283,6.42,0.194,0.1185775431708481,0,42,4,0,0,0,1,0.0,0.0,-0.5981622156730401,42,1
97,740,2025-12-03,experiential,carousel,81991,11.31436476412519,0,3.73,60,46,43,7,96,1.6,5.5,1.361030297817961,34949,39809,1.139,5.6,0.296,0.5821068520189968,0,321,2,2,2,0,4,5.7e-05,0.0,0.3287924011755414,321,6
98,378,2024-10-30,promotional,image,35716,10.48335404663711,0,11.06,60,133,14,3,150,2.5,3.75,0.5778998158000466,16220,36525,2.252,5.81,0.194,0.4837171461552805,0,133,4,5,1,5,4,6.2e-05,0.000308,1.167734225358829,133,10
99,188,2025-03-14,experiential,image,27644,10.22716398521128,0,5.23,60,39,7,7,53,0.8833333333333333,1.0,-0.2670850619363604,7582,7825,1.032,6.24,0.113,-0.5378776274801131,0,39,7,2,3,0,0,0.000396,0.0,0.01176348601430827,39,3
100,230,2025-06-02,promotional,image,58665,10.97959857585772,0,5.24,60,115,4,11,130,2.166666666666667,0.4166666666666667,0.3520863479304479,12170,17273,1.419,6.43,0.211,0.07588673533784202,0,115,8,1,3,0,0,0.000247,0.0,0.01176348601430827,115,3
101,119,2025-11-24,informational,image,93230,11.44282483729074,0,5.56,60,29,39,1,69,1.15,20.0,0.7959658292740106,30745,53460,1.739,4.32,0.198,0.4189828294243915,0,154,1,0,1,0,5,3.3e-05,0.0,0.1442226651575504,154,6
102,156,2024-06-27,informational,carousel,14554,9.585621148907032,0,6.05,60,29,16,3,48,0.8,4.25,-0.1232564738976907,7168,14088,1.965,6.83,0.161,-0.03840841106550189,0,29,3,1,1,2,0,0.00014,0.000279,0.2633006729486105,29,3
103,784,2025-06-28,experiential,carousel,54753,10.91058744069813,0,0.54,60,74,1,4,79,1.316666666666667,0.4,-0.3947495015252537,12617,28507,2.259,5.66,0.187,0.2530578573847475,0,74,12,0,1,0,1,7.9e-05,0.0,-0.1883001088869643,74,2
104,687,2025-01-15,experiential,carousel,23381,10.05967900571104,1,7.71,60,147,10,3,160,2.666666666666667,2.75,0.5090617068416963,14499,21957,1.514,5.69,0.077,0.09218735557319122,0,147,8,0,0,0,0,0.0,0.0,-0.8079607275578431,147,0
